Circuit: TRAN level 2 case 06: rlc tstart filter

Transient Analysis
No. of Data Rows : 11

--------------------------------------------------------------------------------------------------------------------------------
Index   time   v(in)   v(out)   v(lmid)   vdrv#branch   lcore#branch
--------------------------------------------------------------------------------------------------------------------------------
       0   2.000000000000000e-06   3.300000000000000e+00   1.793274383139245e+00   1.545469895861520e+00   -2.666709110936721e-02   2.572090693955921e-02
       1   3.000000000000000e-06   3.300000000000000e+00   2.306289107293602e+00   1.700485376748174e+00   -2.427734909024681e-02   2.344097083519077e-02
       2   4.000000000000000e-06   3.300000000000000e+00   2.929053910406124e+00   2.117037431542653e+00   -1.798297480094430e-02   1.730859320951888e-02
       3   5.000000000000000e-06   3.300000000000000e+00   3.246452618796942e+00   2.551360987944245e+00   -1.146390445368132e-02   1.091616671329311e-02
       4   5.999999999999999e-06   3.300000000000000e+00   3.328551958236902e+00   2.877736496162050e+00   -6.573974996228114e-03   6.117318179105790e-03
       5   6.999999999999999e-06   3.300000000000000e+00   3.277989710417510e+00   3.064586912853745e+00   -3.770044702146857e-03   3.376375517173369e-03
       6   8.000000000000000e-06   3.300000000000000e+00   3.183252141420331e+00   3.136134825296162e+00   -2.684102211415264e-03   2.334806840182001e-03
       7   9.000000000000000e-06   3.300000000000000e+00   3.099899022057027e+00   3.137057255516334e+00   -2.648414972228784e-03   2.332924389361325e-03
       8   1.000000000000000e-05   3.300000000000000e+00   3.051055098857825e+00   3.109062154375891e+00   -3.042353141682426e-03   2.755384015316392e-03
       9   1.100000000000000e-05   3.300000000000000e+00   3.037214297583457e+00   3.080241843426760e+00   -3.449137727264460e-03   3.188049486311205e-03
      10   1.200000000000000e-05   3.300000000000000e+00   3.047610377991450e+00   3.063552607898679e+00   -3.677239293018926e-03   3.440232995617150e-03
