Circuit: TRAN level 2 case 08: cmos nand load

Transient Analysis
No. of Data Rows : 11

--------------------------------------------------------------------------------------------------------------------------------
Index   time   v(vdd)   v(out)   v(a)   v(stack)   vdd#branch
--------------------------------------------------------------------------------------------------------------------------------
       0   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00
       1   1.000000000000000e-06   5.000000000000000e+00   4.226024490495311e-01   4.000000000000000e-01   8.978936140074205e-02   -8.460766314360994e-03
       2   2.000000000000000e-06   5.000000000000000e+00   8.256598294730619e-01   4.000000000000000e-01   1.335101674161062e-01   -8.316743543282120e-03
       3   3.000000000000000e-06   5.000000000000000e+00   1.211115006758561e+00   4.000000000000000e-01   1.759437120303079e-01   -8.159580082020399e-03
       4   4.000000000000000e-06   5.000000000000000e+00   1.578061925991333e+00   4.000000000000000e-01   2.169082766274110e-01   -7.937556028644092e-03
       5   5.000000000000000e-06   5.000000000000000e+00   1.922298005436225e+00   4.000000000000000e-01   2.558958223329271e-01   -7.627088735417203e-03
       6   5.999999999999999e-06   5.000000000000000e+00   2.240675378084703e+00   4.000000000000000e-01   2.924582494941801e-01   -7.253165062910303e-03
       7   6.999999999999999e-06   5.000000000000000e+00   2.531346508961022e+00   4.000000000000000e-01   3.262804153413369e-01   -6.840229927952300e-03
       8   8.000000000000000e-06   5.000000000000000e+00   2.793647706856397e+00   4.000000000000000e-01   3.571784587762329e-01   -6.409928243700855e-03
       9   9.000000000000000e-06   5.000000000000000e+00   3.029504361324773e+00   4.000000000000000e-01   3.852638174292268e-01   -5.979010184667311e-03
      10   9.999999999999999e-06   5.000000000000000e+00   3.238175507058807e+00   4.000000000000000e-01   4.103751920529604e-01   -5.561300018732966e-03
