Circuit: TRAN level 3 case 09: distributed rc line

Transient Analysis
No. of Data Rows : 11

----------------------------------------------------------------------------------------
Index   time   v(in)   v(out)   vdrv#branch
----------------------------------------------------------------------------------------
       0   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00
       1   1.000000000000000e-06   3.300000000000000e+00   2.140717087957568e-01   -5.820460767008841e-03
       2   2.000000000000000e-06   3.300000000000000e+00   3.919802335365037e-01   -5.559595652175461e-03
       3   3.000000000000000e-06   3.300000000000000e+00   5.436730812776059e-01   -5.326740159207923e-03
       4   4.000000000000000e-06   3.300000000000000e+00   6.759261357380338e-01   -5.114808891804705e-03
       5   5.000000000000000e-06   3.300000000000000e+00   7.919876101853499e-01   -4.920919591422103e-03
       6   5.999999999999999e-06   3.300000000000000e+00   8.952972481542024e-01   -4.741969964253483e-03
       7   6.999999999999999e-06   3.300000000000000e+00   9.882787598611953e-01   -4.575791528786328e-03
       8   8.000000000000000e-06   3.300000000000000e+00   1.072702487787464e+00   -4.420778738390078e-03
       9   9.000000000000000e-06   3.300000000000000e+00   1.150264986300364e+00   -4.275151693629907e-03
      10   9.999999999999999e-06   3.300000000000000e+00   1.221531457445032e+00   -4.138546953178944e-03
