Circuit: TRAN level 3 case 12: bjt differential transient

Transient Analysis
No. of Data Rows : 11

--------------------------------------------------------------------------------------------------------------------------------
Index   time   v(vcc)   v(out)   v(qc2)   v(tail)   vcc#branch
--------------------------------------------------------------------------------------------------------------------------------
       0   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00
       1   1.000000000000000e-06   5.000000000000000e+00   7.674231256794461e-02   3.147237965295644e+00   1.123320483937374e+00   -4.619984570223502e-03
       2   2.000000000000000e-06   5.000000000000000e+00   1.520363851950708e-01   3.148578629159539e+00   1.125468895269315e+00   -4.598280848218013e-03
       3   3.000000000000000e-06   5.000000000000000e+00   2.260238219531156e-01   3.149896027453752e+00   1.127580023569394e+00   -4.576953767569221e-03
       4   4.000000000000000e-06   5.000000000000000e+00   2.987736393541740e-01   3.151191389065777e+00   1.129655838127521e+00   -4.555983434079076e-03
       5   5.000000000000000e-06   5.000000000000000e+00   3.702378394597867e-01   3.152463859358596e+00   1.131694969389478e+00   -4.535383683284384e-03
       6   5.999999999999999e-06   5.000000000000000e+00   4.404391413899378e-01   3.153713842862103e+00   1.133698065613662e+00   -4.515147966336781e-03
       7   6.999999999999999e-06   5.000000000000000e+00   5.093998627777812e-01   3.154941736957435e+00   1.135665763602603e+00   -4.495269850117578e-03
       8   8.000000000000000e-06   5.000000000000000e+00   5.771419268646191e-01   3.156147932003309e+00   1.137598688905409e+00   -4.475743015192615e-03
       9   9.000000000000000e-06   5.000000000000000e+00   6.437575703938970e-01   3.157334070339745e+00   1.139499473368891e+00   -4.456540874068764e-03
      10   9.999999999999999e-06   5.000000000000000e+00   7.091944840347455e-01   3.158499220562355e+00   1.141366624419260e+00   -4.437678505053465e-03
