Circuit: TRAN level 4 case 14: rc interconnect matrix

Transient Analysis
No. of Data Rows : 11

----------------------------------------------------------------------------------------
Index   time   v(in)   v(out)   vdrv#branch
----------------------------------------------------------------------------------------
       0   2.000000000000000e-06   3.300000000000000e+00   4.236688707094620e-01   -9.193416645751729e-03
       1   3.000000000000000e-06   3.300000000000000e+00   5.455072668335732e-01   -8.956852221115169e-03
       2   4.000000000000000e-06   3.300000000000000e+00   6.770828405650754e-01   -8.688245149237946e-03
       3   5.000000000000000e-06   3.300000000000000e+00   7.925808875383814e-01   -8.439607083183153e-03
       4   5.999999999999999e-06   3.300000000000000e+00   8.952831551979035e-01   -8.207684469751082e-03
       5   6.999999999999999e-06   3.300000000000000e+00   9.875283737686371e-01   -7.990180447006109e-03
       6   8.000000000000000e-06   3.300000000000000e+00   1.071040054471290e+00   -7.785383375574236e-03
       7   9.000000000000000e-06   3.300000000000000e+00   1.147126755011029e+00   -7.591958598713101e-03
       8   1.000000000000000e-05   3.300000000000000e+00   1.216808418362998e+00   -7.408826552529889e-03
       9   1.100000000000000e-05   3.300000000000000e+00   1.280898555093881e+00   -7.235088466263984e-03
      10   1.200000000000000e-05   3.300000000000000e+00   1.340183983454404e+00   -7.069750811609633e-03
